Nom de la variable,gardé ou pas,question,Current form,wanted form
R_fighter,0,serons-nous en mesure d'associer un nom a la prédiction?,Text,
B_fighter,0,serons-nous en mesure d'associer un nom a la prédiction?,Text,
R_odds,0,,float,
B_odds,0,,float,
R_ev,0,,float,
B_ev,0,,float,
date,0,,date,
location,0,,str,
country,0,,str,
Winner,1,draw a retirer parce que tellement pas beaucoup.,str,one-hot
title_bout,1,,binaire,one-hot
weight_class,1,,str,one-hot
gender,1,principalement parce que l'on crois que les statistiques pourraient êtres différentes ,str,one-hot
no_of_rounds,1,soit 3 soit 5,binaire,one-hot
B_current_lose_streak,1,a changer pour avoir seulement une variable entre les deux.,integer,
B_current_win_streak,1,,integer,
B_draw,1,,integer,
B_avg_SIG_STR_landed,1,,float,
B_avg_SIG_STR_pct,1,,float,
B_avg_SUB_ATT,1,,float,
B_avg_TD_landed,1,,float,
B_avg_TD_pct,1,,float,
B_longest_win_streak,0,n'est pas pertinent parce que ca concerne la carrière au complet,integer,
B_losses,1,,integer,
B_total_rounds_fought,1,,integer,
B_total_title_bouts,1,,integer,
B_win_by_Decision_Majority,2,Regrouper par décision,integer,
B_win_by_Decision_Split,2,Regrouper par décision,integer,
B_win_by_Decision_Unanimous,2,Regrouper par décision,integer,
B_win_by_KO/TKO,2,regrouper par KO,integer,
B_win_by_Submission,2,regrouper par KO,integer,
B_win_by_TKO_Doctor_Stoppage,2,regrouper par KO,integer,
B_wins,0,deja présent dans l'autre,integer,
B_Stance,1,est-ce qu'ils ont le meme stance,categoriel,
B_Height_cms,1,,float,
B_Reach_cms,1,,float,
B_Weight_lbs,0,"a retirer parce que rare avantae de poid, et aussi catégorie de poid plus haut",float,
R_current_lose_streak,1,a changer pour avoir seulement une variable entre les deux.,integer,
R_current_win_streak,1,,integer,
R_draw,1,,integer,
R_avg_SIG_STR_landed,1,,float,
R_avg_SIG_STR_pct,1,,float,
R_avg_SUB_ATT,1,,float,
R_avg_TD_landed,1,,float,
R_avg_TD_pct,1,,float,
R_longest_win_streak,0,n'est pas pertinent parce que ca concerne la carrière au complet,integer,
R_losses,1,,integer,
R_total_rounds_fought,1,,integer,
R_total_title_bouts,1,,integer,
R_win_by_Decision_Majority,2,Regrouper par décision,integer,
R_win_by_Decision_Split,2,Regrouper par décision,integer,
R_win_by_Decision_Unanimous,2,Regrouper par décision,integer,
R_win_by_KO/TKO,2,regrouper par KO,integer,
R_win_by_Submission,2,regrouper par KO,integer,
R_win_by_TKO_Doctor_Stoppage,2,regrouper par KO,integer,
R_wins,0,deja présent dans l'autre,integer,
R_Stance,1,,categoriel,
R_Height_cms,1,,float,
R_Reach_cms,1,,float,
R_Weight_lbs,0,"a retirer parce que rare avantae de poid, et aussi catégorie de poid plus haut",float,
R_age,1,faire une variable plus ou moins que 35 ans,integer,
B_age,1,,integer,
lose_streak_dif,1,,integer,
win_streak_dif,1,,integer,
longest_win_streak_dif,0,,integer,
win_dif,1,,integer,
loss_dif,1,,integer,
total_round_dif,1,,integer,
total_title_bout_dif,1,,integer,
ko_dif,2,Ajouter les différences par décision ou juste Ko differential vs decision differential,integer,
sub_dif,2,,integer,
height_dif,1,,Float,
reach_dif,1,,float,
age_dif,1,,integer,
sig_str_dif,1,,float,
avg_sub_att_dif,1,,float,
avg_td_dif,1,,float,
empty_arena,0,,binaire,
constant_1,0,,binaire,
B_match_weightclass_rank,1,,integer,
R_match_weightclass_rank,1,Ajouter weightclass difference,integer,
R_Women's Flyweight_rank,0,,integer,
R_Women's Featherweight_rank,0,,integer,
R_Women's Strawweight_rank,0,,integer,
R_Women's Bantamweight_rank,0,,integer,
R_Heavyweight_rank,0,,integer,
R_Light Heavyweight_rank,0,,integer,
R_Middleweight_rank,0,,integer,
R_Welterweight_rank,0,,integer,
R_Lightweight_rank,0,,integer,
R_Featherweight_rank,0,,integer,
R_Bantamweight_rank,0,,integer,
R_Flyweight_rank,0,,integer,
R_Pound-for-Pound_rank,0,,integer,
B_Women's Flyweight_rank,0,,integer,
B_Women's Featherweight_rank,0,,integer,
B_Women's Strawweight_rank,0,,integer,
B_Women's Bantamweight_rank,0,,integer,
B_Heavyweight_rank,0,,integer,
B_Light Heavyweight_rank,0,,integer,
B_Middleweight_rank,0,,integer,
B_Welterweight_rank,0,,integer,
B_Lightweight_rank,0,,integer,
B_Featherweight_rank,0,,integer,
B_Bantamweight_rank,0,,integer,
B_Flyweight_rank,0,,integer,
B_Pound-for-Pound_rank,0,,integer,
better_rank,1,,categoriel,one-hot
finish,0,,autre,
finish_details,0,,autre,
finish_round,0,,autre,
finish_round_time,0,,autre,
total_fight_time_secs,0,,autre,
r_dec_odds,0,,autre,
b_dec_odds,0,,autre,
r_sub_odds,0,,autre,
b_sub_odds,0,,autre,
r_ko_odds,0,,autre,
b_ko_odds,0,,autre,
